Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	facies	indicative meaning	Core Name	water depth (m)	Depth in core (cm)	elevation
Bonaparte_Gulf	radiocarbon	YAUT-008620	-12.1	128.1	15410	90	Turritella terebra	marine	0	0	-1	-116.44	1	1	IshiwaEtal2019	marine		KH11-1-GC07	115	144	-116.44
Bonaparte_Gulf	radiocarbon	YAUT-002708	-11.93	128.15	15700	40	unknown macrofossil	marine	0	0	-1	-111.37	1	1	IshiwaEtal2019	marine		KH11-1-GC03	111	37	-111.37
Bonaparte_Gulf	radiocarbon	YAUT-008624	-12.1	128.1	15820	120	Spisula sp.	marine	0	0	-1	-116.55	1	1	IshiwaEtal2019	marine		KH11-1-GC07	115	155	-116.55
Bonaparte_Gulf	radiocarbon	YAUT-021701	-12.1	128.1	16030	50	Benthic foraminifera	marine	0	0	-1	-116.8	1	1	IshiwaEtal2019	marine		KH11-1-GC07	115	180	-116.8
Bonaparte_Gulf	radiocarbon	YAUT-004120	-11.99	128.2	16600	50	unknown macrofossil	marine	0	0	-1	-113.61	1	1	IshiwaEtal2019	marine		KH11-1-GC09	112	161	-113.61
Bonaparte_Gulf	radiocarbon	YAUT-004121	-11.99	128.2	16840	50	unknown macrofossil	marine	0	0	-1	-113.66	1	1	IshiwaEtal2019	marine		KH11-1-GC09	112	166	-113.66
Bonaparte_Gulf	radiocarbon	YAUT-002709	-11.93	128.15	17030	50	Spisula sp.	marine	0	0	-1	-111.6	1	1	IshiwaEtal2019	marine		KH11-1-GC03	111	60	-111.6
Bonaparte_Gulf	radiocarbon	YAUT-002711	-11.93	128.15	17060	50	unknown macrofossil	marine	0	0	-1	-111.45	1	1	IshiwaEtal2019	marine		KH11-1-GC03	111	45	-111.45
Bonaparte_Gulf	radiocarbon	YAUT-025118	-11.93	128.15	17090	50	Paphia undulata	marine	0	0	-1	-111.96	1	1	IshiwaEtal2019	marine		KH11-1-GC03	111	96	-111.96
Bonaparte_Gulf	radiocarbon	YAUT-002710	-11.93	128.15	17110	50	Spisula sp.	marine	0	0	-1	-111.74	1	1	IshiwaEtal2019	marine		KH11-1-GC03	111	74	-111.74
Bonaparte_Gulf	radiocarbon	YAUT-004122	-11.99	128.2	17180	110	Turritella terebra	marine	0	0	-1	-113.71	1	1	IshiwaEtal2019	marine		KH11-1-GC09	112	171	-113.71
Bonaparte_Gulf	radiocarbon	YAUT-000811	-12.18	128.03	18330	120	Anadara sp.	marine	0	0	-1	-124.63	1	1	IshiwaEtal2019	marine		KH11-1-GC06	120	463	-124.63
Bonaparte_Gulf	radiocarbon	YAUT-008619	-12.09	128.28	18510	110	Turritella terebra	marine	0	0	-1	-106.82	1	1	IshiwaEtal2019	marine		KH11-1-GC10	106	82	-106.82
Bonaparte_Gulf	radiocarbon	YAUT-003111	-12.18	128.03	19000	80	Abra sp.	marine	0	0	-1	-124.65	1	1	IshiwaEtal2019	marine		KH11-1-GC06	120	465	-124.65
Bonaparte_Gulf	radiocarbon	YAUT-000820	-12.18	128.03	19800	120	Mimachlamys australia	marine	0	0	-1	-124.73	1	1	IshiwaEtal2019	marine		KH11-1-GC06	120	473	-124.73
Bonaparte_Gulf	radiocarbon	YAUT-000817	-12.18	128.03	24510	170	Cucurbituls cymbium	marine	0	0	-1	-124.88	1	1	IshiwaEtal2019	marine		KH11-1-GC06	120	488	-124.88
