Latitude	longitude	
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
25.22	-80.22	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
24.44	-81.87	Khan_2017_Caribbean
16.41	-86.24	Khan_2017_Caribbean
16.41	-86.24	Khan_2017_Caribbean
16.43	-85.94	Khan_2017_Caribbean
16.41	-86.24	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
