Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference	notes									
Parnu	radiocarbon	Tln-1994	58.13	24.51	7725	65	wood in woody peat	terrestrial	-	-	1	2.43	0.5	0.5	RaukasEtal1999,NirgiEtal2020		#REF!	1175	1422; Rannametsa 3	Raukas et al. 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Rannametsa	0	n/a	8500	125
Parnu	radiocarbon	Tln-2220	58.45	24.31	7560	65	buried woody fen peat	terrestrial	-	-	1	8.44	0.5008991914547277	0.5008991914547277	Veski1998,NirgiEtal2020		#REF!	1192	1439; Malda	Veski 1998 (as in Nirgi et al. 2019)	Estonia; Pärnu; Malda	0	n/a	8370	140
Parnu	radiocarbon	Tln-2603	58.38	24.62	7535	80	nd	terrestrial	-	-	1	7.18	0.5000999900019995	0.5000999900019995	VeskiEtal2005,NirgiEtal2020		#REF!	1118	1365; Paikuse 4	Veski et al. 2005 (as in Nirgi et al. 2019)	Estonia; Pärnu; Paikuse	0	n/a	8340	170
Parnu	radiocarbon	Tln-66	58.43	24.62	8480	90	nd	terrestrial	-	-	1	11.79	0.5080354318352215	0.5080354318352215	KesselPunning1974,NirgiEtal2020		#REF!	1113	1360; Kõdu1	Kessel & Punning 1974 (as in Nirgi et al. 2019)	Estonia; Pärnu; Kõdu	0	n/a	9480	180
Parnu	radiocarbon	Ua-11691	58.38	24.61	9350	75	buried woody fen peat	terrestrial	-	-	1	5.41	0.5000999900019995	0.5000999900019995	Veski1998,NirgiEtal2020		#REF!	1116	1363; Paikuse 2	Veski 1998 (as in Nirgi et al. 2019)	Estonia; Pärnu; Paikuse	0	n/a	10560	190
Parnu	radiocarbon	Ua-12446	58.38	24.61	9340	130	buried woody fen peat	terrestrial	-	-	1	5.23	0.5000999900019995	0.5000999900019995	Veski1998,NirgiEtal2020		#REF!	1117	1364; Paikuse 3	Veski 1998 (as in Nirgi et al. 2019)	Estonia; Pärnu; Paikuse	0	n/a	10560	515
Parnu	radiocarbon	Ua-12447	58.38	24.62	7120	120	buried organic matter	terrestrial	-	-	1	7.03	0.5000999900019995	0.5000999900019995	Veski1998,NirgiEtal2020		#REF!	1119	1366; Paikuse 5	Veski 1998 (as in Nirgi et al. 2019)	Estonia; Pärnu; Paikuse	0	n/a	7940	235
Parnu	radiocarbon	Ua-13351	58.42	24.68	9385	105	charcoal	terrestrial	-	-	1	9.08	0.5	0.5	PoskaVeski1999,NirgiEtal2020		#REF!	1122	1369; Pulli 2	Poska & Veski 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10620	455
Parnu	radiocarbon	Ua-13352	58.42	24.68	9095	90	elk bone	terrestrial	-	-	1	9.18	0.5	0.5	PoskaVeski1999,NirgiEtal2020		#REF!	1121	1368; Pulli 1	Poska & Veski 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10270	245
Parnu	radiocarbon	Ua-13353	58.42	24.68	9145	115	seeds in cultural layer	terrestrial	-	-	1	9.48	0.5	0.5	PoskaVeski1999,NirgiEtal2020		#REF!	1123	1370; Pulli 3	Poska & Veski 1999 (as in Nirgi et al. 2019)	Estonia; Pärnu; Pulli	0	n/a	10340	315
Parnu	radiocarbon	Ua-17013	58.37	24.59	8070	70	charcoal	terrestrial	-	-	1	1.98	0.5000999900019995	0.5000999900019995	Kriiska2001,NirgiEtal2020		#REF!	1155	1402; Sindi-Lodja I 1	Kriiska 2001a (as in Nirgi et al. 2019)	Estonia; Pärnu; Sindi-Lodja I	0	n/a	8980	265
Parnu	radiocarbon_calibrated	Parnu-01	58.36	24.57	8150	50	nd	-	-	-	1	-1.47	0.5	0.5	NirgiEtal2020		#REF!	1193	1440; Pärnu top boundary	Nirgi et al. 2019	Estonia; Pärnu; Pärnu top boundary	0	n/a	8150	100
Parnu	radiocarbon_calibrated	Parnu-02	58.38	24.62	7300	150	highest Litorina Sea shoreline		-	-	0	9.88	1.118033988749895	1.118033988749895	SaarseEtal2003,NirgiEtal2020		#REF!	1194	1441; Litorina highest shoreline	Saarse et al. 2003 (as in Nirgi et al. 2019)	Estonia; Pärnu; Litorina highest shoreline	0	n/a	7300	300
Parnu	radiocarbon_calibrated	Parnu-03	58.38	24.62	10200	100	highest Ancylus Lake shoreline		-	-	0	12.38	1.118033988749895	1.118033988749895	SaarseEtal2003,NirgiEtal2020		#REF!	1195	1442; Ancylus Lake highest shoreline	Saarse et al. 2003 (as in Nirgi et al. 2019)	Estonia; Pärnu; Ancylus Lake highest shoreline	0	n/a	10200	200
